,Name,Diam,WiseData_time
343,2010 WB,0.045,-1
344,2010 WC9,0.059,-1
345,2010 XE11,0.075,-1
346,2010 XM56,0.028,-1
347,2010 XP69,0.156,2010 12 08.62199
348,2010 XR69,0.025,-1
349,2010 YD,0.014,-1
350,2011 AA37,0.07,-1
351,2011 AL37,0.041,-1
352,2011 AV55,0.059,-1
353,2011 BA45,0.149,-1
354,2011 BG24,0.014,-1
355,2011 BY24,0.09,2011 01 24.90012
356,2011 CG2,0.156,-1
357,2011 GM62,0.082,-1
358,2011 GO65,0.077,-1
359,2011 GP59,0.041,-1
360,2011 HO53,0.068,-1
361,2011 HP,0.132,-1
362,2011 JL,0.123,-1
363,2011 KN17,0.09,-1
364,2011 LS17,0.09,-1
365,2011 LY20,0.098,-1
366,2011 MD,0.007,-1
367,2011 OE,0.065,-1
368,2011 OJ10,0.108,-1
369,2011 OJ45,0.019,-1
370,2011 OS15,0.043,-1
371,2011 OV17,0.065,-1
372,2011 OY17,0.124,-1
373,2011 OY4,0.043,-1
374,2011 PX,0.13,-1
375,2011 PZ,0.118,-1
376,2011 QE2,0.118,-1
377,2011 QE38,0.108,-1
378,2011 QH33,0.136,-1
379,2011 QS21,0.136,-1
380,2011 QT2,0.091,-1
381,2011 QU37,0.057,-1
382,2011 QY47,0.136,-1
383,2011 RH1,0.082,-1
384,2011 RX,0.065,-1
385,2011 RY,0.082,-1
386,2011 SE248,0.098,-1
387,2011 SG173,0.03,-1
388,2011 SG47,0.142,-1
389,2011 SH16,0.118,-1
390,2011 SN26,0.065,-1
391,2011 SP26,0.052,-1
392,2011 ST232,0.156,-1
393,2011 TN9,0.157,-1
394,2011 UE63,0.103,-1
395,2011 UG169,0.02,-1
396,2011 UL147,0.124,-1
397,2011 UM21,0.09,-1
398,2011 UQ63,0.043,-1
399,2011 UT,0.019,-1
400,2011 UT91,0.071,-1
401,2011 UV158,0.113,-1
402,2011 UW114,0.122,-1
403,2011 WF44,0.026,-1
404,2011 WF69,0.142,-1
405,2011 WJ15,0.027,-1
406,2011 WK74,0.103,-1
407,2011 XD1,0.049,-1
408,2011 XF,0.086,-1
409,2011 XL1,0.098,-1
410,2011 YH40,0.078,-1
411,2011 YU74,0.075,-1
412,2012 BE77,0.13,-1
413,2012 BF14,0.054,-1
414,2012 BF86,0.09,-1
415,2012 BJ11,0.123,-1
416,2012 BK11,0.086,-1
417,2012 BM86,0.125,-1
418,2012 BR23,0.156,-1
419,2012 BX34,0.009,-1
420,2012 CL29,0.071,-1
421,2012 CM29,0.113,-1
422,2012 CZ52,0.136,-1
423,2012 DE54,0.124,-1
424,2012 DR32,0.033,-1
425,2012 DV32,0.13,-1
426,2012 DW30,0.087,-1
427,2012 EG5,0.041,-1
428,2012 FA14,0.071,-1
429,2012 FG58,0.118,-1
430,2012 FP52,0.036,-1
431,2012 FR52,0.068,-1
432,2012 FT62,0.033,-1
433,2012 GD5,0.094,-1
434,2012 GF1,0.113,-1
435,2012 GG11,0.136,-1
436,2012 GK,0.098,-1
437,2012 GM11,0.071,-1
438,2012 GY17,0.124,-1
439,2012 HG2,0.012,-1
440,2012 HH31,0.052,-1
441,2012 HM,0.045,-1
442,2012 JU11,0.03,-1
443,2012 KN11,0.124,-1
444,2012 KP24,0.014,-1
445,2012 KT42,0.005,-1
446,2012 KU12,0.142,-1
447,2012 TC4,0.014,-1
448,2012 TV,0.027,-1
449,2012 UX136,0.023,-1
450,2012 VP76,0.048,-1
451,2012 XE54,0.025,-1
452,2012 XO134,0.042,-1
453,2012 XQ93,0.136,-1
454,2012 XS111,0.107,-1
455,2012 YN6,0.101,-1
456,2013 BS45,0.02,-1
457,2013 CR35,0.094,-1
458,2013 ET,0.071,-1
459,2013 NH4,0.021,-1
460,2013 NJ,0.104,-1
461,2013 NQ8,0.118,-1
462,2013 PC7,0.098,-1
463,2013 PH10,0.065,-1
464,2013 PH3,0.054,-1
465,2013 PJ10,0.036,-1
466,2013 PR43,0.062,-1
467,2013 QR1,0.142,-1
468,2013 SB21,0.012,-1
469,2013 SO19,0.13,-1
470,2013 SR,0.045,-1
471,2013 SU24,0.037,-1
472,2013 SY19,0.033,-1
473,2013 TE6,0.13,-1
474,2013 TG6,0.014,-1
475,2013 TL,0.108,-1
476,2013 UE1,0.039,-1
477,2013 UG1,0.094,-1
478,2013 UH5,0.045,-1
479,2013 VA10,0.103,-1
480,2013 VJ2,0.142,-1
481,2013 WA44,0.063,-1
482,2013 WS43,0.086,-1
483,2013 XA22,0.078,-1
484,2013 XA4,0.149,-1
485,2013 XV8,0.13,-1
486,2013 XX8,0.031,-1
487,2013 XY20,0.023,-1
488,2013 XY8,0.03,-1
489,2013 YG,0.025,-1
490,2013 YL2,0.071,-1
491,2013 YP139,0.142,2013 12 29.11217
492,2013 YS2,0.054,-1
493,2014 AG16,0.086,2013 12 13.83859
494,2014 BE63,0.068,2014 01 23.99975
495,2014 BH25,0.142,2014 01 10.67102
496,2014 BR43,0.149,-1
497,2014 BR57,0.049,-1
498,2014 BR8,0.136,2014 01 06.76034
499,2014 BX2,0.13,2014 02 18.56361
500,2014 CG13,0.098,-1
501,2014 CP13,0.071,-1
502,2014 CR,0.094,2014 02 24.70652
503,2014 CS13,0.047,-1
504,2014 CU13,0.124,-1
505,2014 DF80,0.022,-1
506,2014 DH10,0.021,-1
507,2014 DJ80,0.016,-1
508,2014 DX110,0.022,-1
509,2014 EM,0.025,-1
510,2014 EQ49,0.13,2014 03 15.46185
511,2014 EY24,0.045,-1
512,2014 FA44,0.033,-1
513,2014 FA7,0.014,-1
514,2014 FB44,0.024,-1
515,2014 FD,0.024,2014 03 26.40399
516,2014 FD7,0.149,2010 05 14.484520
517,2014 FF,0.043,-1
518,2014 FP47,0.103,-1
519,2014 FR52,0.049,-1
520,2014 GG49,0.022,-1
521,2014 GN1,0.045,-1
522,2014 GQ17,0.011,-1
523,2014 HB177,0.007,-1
524,2014 HE177,0.021,-1
525,2014 HF5,0.026,-1
526,2014 HM2,0.13,-1
527,2014 HN178,0.059,-1
528,2014 HO132,0.022,-1
529,2014 HS184,0.065,-1
530,2014 HS4,0.018,-1
531,2014 HT46,0.014,-1
532,2014 HW,0.006,-1
533,2014 JD,0.016,-1
534,2014 JJ55,0.026,-1
535,2014 JL25,0.075,2014 05 04.23244
536,2014 JR25,0.065,-1
537,2014 KA91,0.024,-1
538,2014 KH39,0.017,-1
539,2014 KL22,0.036,-1
540,2014 KO76,0.049,2014 05 15.15103
541,2014 KQ84,0.014,-1
542,2014 MD6,0.149,-1
543,2014 MF18,0.018,2014 07 16.52023
544,2014 MP5,0.13,-1
545,2014 MS5,0.086,2014 07 10.79335
546,2014 NE63,0.13,-1
547,2014 NL52,0.057,-1
548,2014 NM64,0.09,2014 07 11.55458
549,2014 OL339,0.078,-1
550,2014 OT111,0.136,-1
551,2014 OT338,0.156,-1
552,2014 OV3,0.068,-1
553,2014 OZ337,0.094,-1
554,2014 QK362,0.142,-1
555,2014 QO33,0.142,-1
556,2014 QQ33,0.113,-1
557,2014 QT295,0.02,2014 09 06.18490
558,2014 QV295,0.031,-1
559,2014 RC,0.013,-1
560,2014 RF11,0.052,-1
561,2014 RH12,0.059,2014 09 03.54175
562,2014 RQ17,0.103,2014 10 22.27579
563,2014 SB145,0.016,-1
564,2014 SC324,0.041,-1
565,2014 SF145,0.089,-1
566,2014 SF304,0.01,-1
567,2014 SO142,0.039,-1
568,2014 SS1,0.136,-1
569,2014 SU1,0.028,-1
570,2014 SU260,0.13,2014 10 05.28657
571,2014 SV141,0.142,2014 08 14.33969
572,2014 SX261,0.094,-1
573,2014 SZ144,0.026,-1
574,2014 TJ17,0.031,-1
575,2014 TL17,0.078,-1
576,2014 TM34,0.03,-1
577,2014 TN17,0.149,-1
578,2014 TP57,0.017,-1
579,2014 TR57,0.027,-1
580,2014 TT35,0.019,-1
581,2014 TV,0.039,-1
582,2014 TZ,0.09,-1
583,2014 TZ17,0.086,-1
584,2014 UA176,0.014,-1
585,2014 UC115,0.054,-1
586,2014 UD57,0.021,-1
587,2014 UG176,0.149,2014 10 25.59421
588,2014 UN114,0.032,-1
589,2014 UR,0.014,-1
590,2014 UT33,0.062,-1
591,2014 UV115,0.086,-1
592,2014 UV210,0.012,-1
593,2014 UX7,0.023,-1
594,2014 UY,0.026,-1
595,2014 UY7,0.033,-1
596,2014 VG2,0.086,2014 12 22.53181
597,2014 VH2,0.151,-1
598,2014 VL6,0.157,2014 10 30.08568
599,2014 VP,0.082,-1
600,2014 VP35,0.065,2014 11 14.55165
601,2014 WA366,0.012,-1
602,2014 WB366,0.033,-1
603,2014 WC201,0.017,-1
604,2014 WE120,0.045,-1
605,2014 WE121,0.057,-1
606,2014 WF201,0.023,-1
607,2014 WJ201,0.033,-1
608,2014 WK368,0.156,2014 11 19.76653
609,2014 WO69,0.057,-1
610,2014 WP4,0.041,-1
611,2014 WQ201,0.086,-1
612,2014 WR6,0.026,-1
613,2014 WS7,0.01,-1
614,2014 WU200,0.004,-1
615,2014 WX202,0.004,-1
616,2014 WX4,0.016,-1
617,2014 WY119,0.016,-1
618,2014 WZ4,0.059,-1
619,2014 XF32,0.119,-1
620,2014 YC,0.108,-1
621,2014 YD,0.041,-1
622,2014 YD42,0.108,-1
623,2014 YN,0.022,-1
624,2014 YT34,0.034,-1
625,2014 YU41,0.052,-1
626,2014 YW34,0.136,-1
627,2014 YZ8,0.054,-1
628,2015 AA44,0.049,-1
629,2015 AF44,0.019,-1
630,2015 AK1,0.041,-1
631,2015 AK280,0.13,2015 01 15.14465
632,2015 AK45,0.016,-1
633,2015 AN44,0.027,-1
634,2015 AP44,0.017,-1
635,2015 AZ43,0.059,-1
636,2015 BD,0.047,-1
637,2015 BF511,0.033,-1
638,2015 BG92,0.028,-1
639,2015 BK,0.148,-1
640,2015 BK4,0.031,-1
641,2015 BK509,0.086,-1
642,2015 BM510,0.028,-1
643,2015 BW310,0.118,2014 12 22.06575
644,2015 BY516,0.103,2015 01 29.93723
645,2015 BZ310,0.147,-1
646,2015 CB1,0.024,-1
647,2015 CD1,0.007,-1
648,2015 CF,0.059,-1
649,2015 CG,0.023,-1
650,2015 CM,0.018,-1
651,2015 CN13,0.065,-1
652,2015 CO,0.017,-1
653,2015 CQ13,0.022,-1
654,2015 CS,0.016,-1
655,2015 CW12,0.075,-1
656,2015 CW13,0.078,-1
657,2015 CZ12,0.025,-1
658,2015 DC54,0.018,-1
659,2015 DK200,0.023,-1
660,2015 DO215,0.014,-1
661,2015 DP155,0.142,2018 05 04.12393
662,2015 DP53,0.039,-1
663,2015 DS,0.031,-1
664,2015 DS53,0.043,-1
665,2015 DT,0.067,-1
666,2015 DU,0.016,-1
667,2015 DX198,0.113,2015 02 17.03010
668,2015 DZ198,0.036,-1
669,2015 EF,0.013,-1
670,2015 EG,0.023,-1
671,2015 EK,0.016,-1
672,2015 EL7,0.086,-1
673,2015 EO,0.013,-1
674,2015 EP,0.019,-1
675,2015 EQ,0.018,-1
676,2015 ET,0.014,-1
677,2015 FC,0.014,-1
678,2015 FG120,0.078,-1
679,2015 FG36,0.054,-1
680,2015 FG37,0.136,-1
681,2015 FL290,0.108,-1
682,2015 FN120,0.059,2015 03 21.21733
683,2015 FP,0.027,-1
684,2015 FQ,0.103,-1
685,2015 FS33,0.108,2015 04 08.23707
686,2015 FW33,0.021,-1
687,2015 FX33,0.022,-1
688,2015 FY284,0.136,-1
689,2015 GC14,0.033,-1
690,2015 GY,0.136,2015 05 10.76255
691,2015 HB117,0.057,-1
692,2015 HB177,0.036,-1
693,2015 HF1,0.086,2015 04 08.13940
694,2015 HM10,0.057,-1
695,2015 HO116,0.024,-1
696,2015 HR1,0.041,-1
697,2015 HS1,0.034,-1
698,2015 HS11,0.011,-1
699,2015 HU171,0.054,2015 05 09.34056
700,2015 HU9,0.062,-1
701,2015 HV11,0.045,-1
702,2015 HW11,0.065,-1
703,2015 HX181,0.049,2015 04 20.77212
704,2015 JD,0.024,-1
705,2015 JF,0.016,-1
706,2015 JH2,0.103,-1
707,2015 JJ2,0.13,-1
708,2015 JR,0.016,-1
709,2015 JV,0.156,-1
710,2015 JW,0.021,-1
711,2015 KA,0.017,-1
712,2015 KE,0.017,-1
713,2015 KJ19,0.095,-1
714,2015 KL122,0.103,-1
715,2015 KM120,0.034,-1
716,2015 KO122,0.012,-1
717,2015 KQ120,0.014,-1
718,2015 KQ57,0.108,-1
719,2015 KS121,0.082,-1
720,2015 KT56,0.018,-1
721,2015 KU121,0.078,-1
722,2015 KV18,0.052,-1
723,2015 KW120,0.019,-1
724,2015 LA2,0.075,-1
725,2015 LG14,0.068,-1
726,2015 LH,0.011,-1
727,2015 LJ,0.034,-1
728,2015 LK24,0.142,2015 07 27.81320
729,2015 LM21,0.113,2015 06 02.73874
730,2015 LN21,0.075,-1
731,2015 LQ21,0.037,-1
732,2015 MC,0.045,-1
733,2015 ME116,0.103,-1
734,2015 MN44,0.098,-1
735,2015 MQ116,0.062,-1
736,2015 MX103,0.039,-1
737,2015 MY53,0.025,-1
738,2015 NA14,0.118,2015 08 11.61125
739,2015 OF26,0.142,-1
740,2015 OM21,0.094,-1
741,2015 OQ21,0.008,-1
742,2015 OV,0.057,-1
743,2015 PK57,0.039,2015 09 09.30843
744,2015 PK9,0.054,-1
745,2015 PQ,0.086,-1
746,2015 PQ56,0.09,-1
747,2015 PT227,0.049,-1
748,2015 QA,0.078,-1
749,2015 QB,0.043,-1
750,2015 QG,0.052,2015 08 08.63142
751,2015 QT3,0.047,-1
752,2015 RF36,0.062,-1
753,2015 RH2,0.102,2019 10 02.59835
754,2015 RH36,0.057,-1
755,2015 RO36,0.078,-1
756,2015 RQ36,0.037,-1
757,2015 SA,0.026,-1
758,2015 SO2,0.049,-1
759,2015 SU,0.025,-1
760,2015 SU16,0.03,-1
761,2015 SV6,0.009,-1
762,2015 SW6,0.038,-1
763,2015 SY,0.065,-1
764,2015 SZ,0.059,-1
765,2015 SZ2,0.025,-1
766,2015 TA,0.142,-1
767,2015 TC25,0.004,-1
768,2015 TD144,0.09,-1
769,2015 TE,0.094,2015 10 17.52310
770,2015 TF,0.108,2010 05 27.290368
771,2015 TG238,0.082,-1
772,2015 TJ1,0.09,-1
773,2015 TK237,0.09,2015 10 08.22474
774,2015 TK238,0.124,2015 10 03.46523
775,2015 TL143,0.065,-1
776,2015 TL238,0.031,-1
777,2015 TM143,0.055,-1
778,2015 TW237,0.068,-1
779,2015 TX24,0.144,2015 10 27.96432
780,2015 TY178,0.11,-1
781,2015 TZ143,0.016,-1
782,2015 TZ237,0.043,-1
783,2015 UC,0.034,-1
784,2015 UJ51,0.156,-1
785,2015 US51,0.098,-1
786,2015 VA106,0.086,-1
787,2015 VB65,0.078,2015 12 01.81185
788,2015 VE66,0.045,-1
789,2015 VF1,0.052,2015 11 04.17026
790,2015 VG105,0.047,-1
791,2015 VN105,0.009,-1
792,2015 VO105,0.045,-1
793,2015 VO142,0.005,-1
794,2015 VU65,0.016,2015 11 15.52756
795,2015 VY105,0.005,-1
796,2015 VZ145,0.059,2015 11 13.32461
797,2015 VZ2,0.09,-1
798,2015 WA13,0.018,-1
799,2015 WF13,0.068,-1
800,2015 XA379,0.026,-1
801,2015 XB,0.045,-1
802,2015 XB130,0.13,2015 12 03.72434
803,2015 XC,0.027,-1
804,2015 XE,0.034,2015 11 16.28344
805,2015 XF,0.039,-1
806,2015 XM128,0.052,-1
807,2015 XO,0.018,-1
808,2015 XO129,0.027,2015 11 19.03662
809,2015 XU378,0.156,-1
810,2015 YB1,0.156,2016 01 08.67339
811,2015 YC18,0.026,2015 12 26.48202
812,2015 YD,0.045,-1
813,2015 YD1,0.043,-1
814,2015 YE,0.062,-1
815,2015 YK,0.02,2016 01 01.62559
816,2015 YS9,0.019,-1
817,2015 YU7,0.15,-1
818,2015 YX7,0.118,2015 11 01.51322
819,2016 AD166,0.057,2016 01 09.46798
820,2016 AF166,0.025,-1
821,2016 AG166,0.047,-1
822,2016 AK8,0.13,2016 01 15.01103
823,2016 AO131,0.041,-1
824,2016 AU65,0.086,-1
