	Name	Diam	Class	H	time
209	2015 TY178	0.11	S*	22.16	-1
210	2013 TL	0.108	S*	22.2	-1
211	2019 FP2	0.108	S*	22.2	-1
212	2016 TL2	0.108	S*	22.2	-1
213	2016 EK27	0.108	S*	22.2	-1
214	2011 OJ10	0.108	S*	22.2	-1
215	2011 QE38	0.108	S*	22.2	-1
216	2015 KQ57	0.108	S*	22.2	-1
217	2020 BZ11	0.108	S*	22.2	-1
218	2010 CE55	0.108	S*	22.2	-1
219	2014 YC	0.108	S*	22.2	-1
220	2014 YD42	0.108	S*	22.2	-1
221	2015 FL290	0.108	S*	22.2	-1
222	2010 AN2	0.108	S*	22.2	-1
223	2010 RC130	0.108	S*	22.2	-1
224	2006 KC	0.108	S*	22.2	-1
225	Derm3k	0.107	S*	22.22	0
226	2012 XS111	0.107	S*	22.21	-1
227	1998 KG3	0.106	S*	22.23	-1
228	2013 NJ	0.104	S*	22.27	-1
229	2002 CX58	0.103	S*	22.3	-1
230	2010 CC19	0.103	S*	22.3	-1
231	2009 TK	0.103	S*	22.3	-1
232	2008 UT1	0.103	S*	22.3	-1
233	2001 EC16	0.103	S*	22.3	-1
234	Derm4c	0.103	S*	22.31	0
235	2017 BT	0.103	S*	22.3	-1
236	2015 ME116	0.103	S*	22.3	-1
237	2000 RE52	0.103	S*	22.3	-1
238	2015 KL122	0.103	S*	22.3	-1
239	2013 VA10	0.103	S*	22.31	-1
240	2015 FQ	0.103	S*	22.3	-1
241	Derm6f	0.103	S*	22.31	0
242	2002 LY1	0.103	S*	22.3	-1
243	2011 WK74	0.103	S*	22.3	-1
244	2006 CT	0.103	S*	22.3	-1
245	2014 FP47	0.103	S*	22.3	-1
246	2015 JH2	0.103	S*	22.3	-1
247	2011 UE63	0.103	S*	22.3	-1
248	1996 VB3	0.102	S*	22.32	-1
249	2012 YN6	0.101	S*	22.35	-1
250	2016 EO84	0.1	S*	22.37	-1
251	2015 US51	0.098	S*	22.4	-1
252	2007 DA	0.098	S*	22.4	-1
253	2012 GK	0.098	S*	22.4	-1
254	2010 NK1	0.098	S*	22.4	-1
255	2016 DK	0.098	S*	22.4	-1
