Name	Diam	WiseData_time
2008 MP1	0.124	-1
2008 NP3	0.081	2010 07 21.08450
2008 PR9	0.096	2016 04 29.708862
2008 SA	0.03	-1
2008 TC3	0.002	-1
2008 TT26	0.057	-1
2008 TX3	0.031	-1
2008 TY9	0.03	-1
2008 UP100	0.049	-1
2008 UR	0.012	-1
2008 UR2	0.012	-1
2008 UT1	0.103	-1
2008 UT5	0.037	-1
2008 UT95	0.01	-1
2008 VH14	0.057	-1
2008 VU3	0.062	-1
2008 WA14	0.075	-1
2008 WD14	0.069	-1
2008 WL	0.136	2017 11 21.297214
2008 WY94	0.023	-1
2008 XC1	0.054	-1
2008 YY32	0.027	-1
2009 BD	0.007	-1
2009 BF2	0.02	-1
2009 BK58	0.021	-1
2009 BO5	0.013	-1
2009 CV	0.041	-1
2009 DD45	0.021	-1
2009 DL46	0.118	2016 05 17.696122
2009 DO111	0.082	-1
2009 EM1	0.078	-1
2009 EP2	0.142	-1
2009 EW	0.016	-1
2009 FH	0.014	-1
2009 FJ	0.031	-1
2009 FK	0.007	-1
2009 FP32	0.009	-1
2009 FX4	0.025	-1
2009 HG60	0.086	-1
2009 HK73	0.016	-1
2009 HM82	0.086	-1
2009 KL8	0.041	-1
2009 KW2	0.014	-1
2009 QH34	0.031	-1
2009 SH15	0.037	-1
2009 SH2	0.031	-1
2009 SK15	0.026	-1
2009 SN103	0.009	-1
2009 TM8	0.006	-1
2009 TO8	0.018	-1
2009 UD	0.011	-1
2009 UG	0.065	2016 09 27.590843
2009 UO3	0.075	-1
2009 UU1	0.034	-1
2009 UY19	0.062	-1
2009 WB	0.043	-1
2009 WV25	0.047	-1
2009 WV51	0.011	-1
2009 WW104	0.094	-1
2009 WY7	0.045	-1
2009 XO2	0.059	-1
2010 AE30	0.057	-1
2010 AF30	0.136	-1
2010 AG40	0.118	2010 01 24.61582
2010 AJ30	0.084	2010 02 16.01827
2010 AL30	0.011	-1
2010 AN2	0.108	-1
2010 BC	0.108	2010 01 25.47548
2010 BH115	0.0	2010 01 29.78830
2010 BK2	0.118	-1
2010 BT3	0.156	-1
2010 CA55	0.108	2010 02 04.718421
2010 CB55	0.086	2010 07 30.962838
2010 CC19	0.103	-1
2010 CC55	0.094	2010 02 11.086848
2010 CD55	0.065	-1
2010 CE55	0.108	-1
2010 CF55	0.136	-1
2010 CK1	0.047	-1
2010 CN141	0.098	2010 02 14.576164
2010 CO44	0.036	-1
2010 DG77	0.156	2010 02 19.17573
2010 DH77	0.156	2010 02 19.197885
2010 DL	0.012	-1
2010 DO	0.136	-1
2010 DX1	0.142	2010 02 11.60053
2010 EC43	0.075	-1
2010 EG21	0.039	-1
2010 EK43	0.142	-1
2010 EX11	0.045	2010 03 03.456067
2010 FA81	0.098	2010 03 10.400811
2010 FB81	0.156	2010 01 18.700777
2010 FC	0.047	-1
2010 FC81	0.13	2010 03 30.762265
2010 FD6	0.013	-1
2010 FD7	0.113	2010 04 16.87102
2010 FE7	0.054	2010 02 14.26177
2010 FF10	0.132	-1
2010 FG81	0.065	2010 03 11.310385
2010 FK	0.052	-1
2010 FR9	0.018	-1
2010 FS	0.043	-1
2010 FT	0.022	-1
2010 FW9	0.014	-1
2010 FX9	0.043	-1
2010 GB6	0.113	-1
2010 GC6	0.156	-1
2010 GF7	0.02	-1
2010 GH7	0.01	-1
2010 GL23	0.082	-1
2010 GP67	0.094	2010 04 11.570822
2010 GS7	0.149	2010 06 25.382809
2010 GT6	0.156	-1
2010 GX23	0.075	-1
2010 GZ5	0.082	-1
2010 HA	0.049	-1
2010 HF	0.017	-1
2010 HV20	0.124	-1
2010 HW81	0.156	2010 04 25.55942
2010 HX107	0.057	2010 04 20.207654
2010 HZ104	0.094	2010 04 23.72384
2010 JE88	0.149	-1
2010 JH3	0.026	-1
2010 JJ3	0.054	-1
2010 JL88	0.013	-1
2010 JN71	0.156	2010 05 12.11095
2010 JO71	0.049	-1
2010 JW39	0.037	-1
2010 JX16	0.0	2010 05 02.970118
2010 KA8	0.156	-1
2010 KK37	0.022	-1
2010 KO10	0.011	-1
2010 KP10	0.062	2010 04 16.94283
2010 KU7	0.108	2010 06 26.01058
2010 KV7	0.019	-1
2010 LB64	0.132	-1
2010 LH14	0.113	2010 06 02.80343
2010 LJ68	0.086	2010 06 11.740367
2010 LK34	0.124	-1
2010 LK61	0.124	-1
2010 LK68	0.094	2010 06 12.288937
2010 LL68	0.078	2010 06 12.72864
2010 LV108	0.09	2010 06 14.274514
2010 MG1	0.065	-1
2010 MP1	0.156	-1
2010 MY1	0.049	2010 06 25.76253
2010 NK1	0.098	-1
2010 NR1	0.13	-1
2010 NS36	0.0	2010 07 08.354556
2010 OH126	0.156	2010 07 31.517902
2010 PK9	0.13	-1
2010 PP58	0.113	2010 08 05.860102
2010 PU66	0.103	2010 08 03.559744
2010 PW58	0.136	2010 05 25.577039
2010 QA5	0.103	2010 08 29.98263
2010 QG2	0.041	-1
2010 RC130	0.108	-1
2010 RJ53	0.047	-1
2010 RQ64	0.017	-1
2010 SK13	0.01	-1
2010 TD54	0.005	-1
2010 TE55	0.007	-1
2010 TG19	0.049	-1
2010 TN4	0.009	-1
2010 TS19	0.021	-1
2010 UC7	0.034	-1
2010 UJ7	0.025	-1
2010 UX6	0.071	-1
2010 VB1	0.068	-1
2010 VD72	0.156	-1
2010 VK139	0.055	-1
2010 VO21	0.005	-1
2010 VT11	0.149	-1
2010 VW75	0.124	-1
2010 VZ11	0.023	-1
2010 WA	0.003	-1
2010 WA9	0.023	-1
2010 WB	0.045	-1
2010 WC9	0.059	-1
2010 XE11	0.075	-1
2010 XM56	0.028	-1
2010 XP69	0.156	2010 12 08.62199
2010 XR69	0.025	-1
2010 YD	0.014	-1
2011 AA37	0.07	-1
2011 AL37	0.041	-1
2011 AV55	0.059	-1
2011 BA45	0.149	-1
2011 BG24	0.014	-1
2011 BY24	0.09	2011 01 24.90012
2011 CG2	0.156	-1
2011 GM62	0.082	-1
2011 GO65	0.077	-1
2011 GP59	0.041	-1
2011 HO53	0.068	-1
2011 HP	0.132	-1
2011 JL	0.123	-1
2011 KN17	0.09	-1
2011 LS17	0.09	-1
2011 LY20	0.098	-1
2011 MD	0.007	-1
2011 OE	0.065	-1
2011 OJ10	0.108	-1
2011 OJ45	0.019	-1
2011 OS15	0.043	-1
2011 OV17	0.065	-1
2011 OY17	0.124	-1
2011 OY4	0.043	-1
2011 PX	0.13	-1
2011 PZ	0.118	-1
2011 QE2	0.118	-1
2011 QE38	0.108	-1
2011 QH33	0.136	-1
2011 QS21	0.136	-1
2011 QT2	0.091	-1
2011 QU37	0.057	-1
2011 QY47	0.136	-1
2011 RH1	0.082	-1
2011 RX	0.065	-1
2011 RY	0.082	-1
2011 SE248	0.098	-1
2011 SG173	0.03	-1
2011 SG47	0.142	-1
2011 SH16	0.118	-1
2011 SN26	0.065	-1
2011 SP26	0.052	-1
2011 ST232	0.156	-1
2011 TN9	0.157	-1
2011 UE63	0.103	-1
2011 UG169	0.02	-1
2011 UL147	0.124	-1
2011 UM21	0.09	-1
2011 UQ63	0.043	-1
2011 UT	0.019	-1
2011 UT91	0.071	-1
2011 UV158	0.113	-1
2011 UW114	0.122	-1
2011 WF44	0.026	-1
2011 WF69	0.142	-1
2011 WJ15	0.027	-1
2011 WK74	0.103	-1
2011 XD1	0.049	-1
2011 XF	0.086	-1
2011 XL1	0.098	-1
2011 YH40	0.078	-1
2011 YU74	0.075	-1
2012 BE77	0.13	-1
2012 BF14	0.054	-1
2012 BF86	0.09	-1
2012 BJ11	0.123	-1
2012 BK11	0.086	-1
2012 BM86	0.125	-1
2012 BR23	0.156	-1
2012 BX34	0.009	-1
2012 CL29	0.071	-1
2012 CM29	0.113	-1
2012 CZ52	0.136	-1
2012 DE54	0.124	-1
2012 DR32	0.033	-1
2012 DV32	0.13	-1
2012 DW30	0.087	-1
2012 EG5	0.041	-1
2012 FA14	0.071	-1
2012 FG58	0.118	-1
2012 FP52	0.036	-1
2012 FR52	0.068	-1
2012 FT62	0.033	-1
2012 GD5	0.094	-1
2012 GF1	0.113	-1
2012 GG11	0.136	-1
2012 GK	0.098	-1
2012 GM11	0.071	-1
2012 GY17	0.124	-1
2012 HG2	0.012	-1
2012 HH31	0.052	-1
2012 HM	0.045	-1
2012 JU11	0.03	-1
2012 KN11	0.124	-1
2012 KP24	0.014	-1
2012 KT42	0.005	-1
2012 KU12	0.142	-1
2012 TC4	0.014	-1
2012 TV	0.027	-1
2012 UX136	0.023	-1
2012 VP76	0.048	-1
2012 XE54	0.025	-1
2012 XO134	0.042	-1
2012 XQ93	0.136	-1
2012 XS111	0.107	-1
2012 YN6	0.101	-1
2013 BS45	0.02	-1
2013 CR35	0.094	-1
2013 ET	0.071	-1
2013 NH4	0.021	-1
2013 NJ	0.104	-1
2013 NQ8	0.118	-1
2013 PC7	0.098	-1
2013 PH10	0.065	-1
2013 PH3	0.054	-1
2013 PJ10	0.036	-1
2013 PR43	0.062	-1
2013 QR1	0.142	-1
2013 SB21	0.012	-1
2013 SO19	0.13	-1
2013 SR	0.045	-1
2013 SU24	0.037	-1
2013 SY19	0.033	-1
2013 TE6	0.13	-1
2013 TG6	0.014	-1
2013 TL	0.108	-1
2013 UE1	0.039	-1
2013 UG1	0.094	-1
2013 UH5	0.045	-1
2013 VA10	0.103	-1
2013 VJ2	0.142	-1
2013 WA44	0.063	-1
2013 WS43	0.086	-1
2013 XA22	0.078	-1
2013 XA4	0.149	-1
2013 XV8	0.13	-1
2013 XX8	0.031	-1
2013 XY20	0.023	-1
2013 XY8	0.03	-1
2013 YG	0.025	-1
2013 YL2	0.071	-1
2013 YP139	0.142	2013 12 29.11217
2013 YS2	0.054	-1
2014 AG16	0.086	2013 12 13.83859
2014 BE63	0.068	2014 01 23.99975
2014 BH25	0.142	2014 01 10.67102
2014 BR43	0.149	-1
2014 BR57	0.049	-1
2014 BR8	0.136	2014 01 06.76034
2014 BX2	0.13	2014 02 18.56361
2014 CG13	0.098	-1
2014 CP13	0.071	-1
2014 CR	0.094	2014 02 24.70652
2014 CS13	0.047	-1
2014 CU13	0.124	-1
2014 DF80	0.022	-1
2014 DH10	0.021	-1
2014 DJ80	0.016	-1
2014 DX110	0.022	-1
2014 EM	0.025	-1
2014 EQ49	0.13	2014 03 15.46185
2014 EY24	0.045	-1
2014 FA44	0.033	-1
2014 FA7	0.014	-1
2014 FB44	0.024	-1
2014 FD	0.024	2014 03 26.40399
2014 FD7	0.149	2010 05 14.484520
2014 FF	0.043	-1
2014 FP47	0.103	-1
2014 FR52	0.049	-1
2014 GG49	0.022	-1
2014 GN1	0.045	-1
2014 GQ17	0.011	-1
2014 HB177	0.007	-1
2014 HE177	0.021	-1
2014 HF5	0.026	-1
2014 HM2	0.13	-1
2014 HN178	0.059	-1
2014 HO132	0.022	-1
2014 HS184	0.065	-1
2014 HS4	0.018	-1
2014 HT46	0.014	-1
2014 HW	0.006	-1
2014 JD	0.016	-1
2014 JJ55	0.026	-1
2014 JL25	0.075	2014 05 04.23244
2014 JR25	0.065	-1
2014 KA91	0.024	-1
2014 KH39	0.017	-1
2014 KL22	0.036	-1
2014 KO76	0.049	2014 05 15.15103
2014 KQ84	0.014	-1
2014 MD6	0.149	-1
2014 MF18	0.018	2014 07 16.52023
2014 MP5	0.13	-1
2014 MS5	0.086	2014 07 10.79335
2014 NE63	0.13	-1
2014 NL52	0.057	-1
2014 NM64	0.09	2014 07 11.55458
2014 OL339	0.078	-1
2014 OT111	0.136	-1
2014 OT338	0.156	-1
2014 OV3	0.068	-1
2014 OZ337	0.094	-1
2014 QK362	0.142	-1
2014 QO33	0.142	-1
2014 QQ33	0.113	-1
2014 QT295	0.02	2014 09 06.18490
2014 QV295	0.031	-1
2014 RC	0.013	-1
2014 RF11	0.052	-1
2014 RH12	0.059	2014 09 03.54175
2014 RQ17	0.103	2014 10 22.27579
2014 SB145	0.016	-1
2014 SC324	0.041	-1
2014 SF145	0.089	-1
2014 SF304	0.01	-1
2014 SO142	0.039	-1
2014 SS1	0.136	-1
2014 SU1	0.028	-1
2014 SU260	0.13	2014 10 05.28657
2014 SV141	0.142	2014 08 14.33969
2014 SX261	0.094	-1
2014 SZ144	0.026	-1
2014 TJ17	0.031	-1
2014 TL17	0.078	-1
2014 TM34	0.03	-1
2014 TN17	0.149	-1
2014 TP57	0.017	-1
2014 TR57	0.027	-1
2014 TT35	0.019	-1
2014 TV	0.039	-1
2014 TZ	0.09	-1
2014 TZ17	0.086	-1
2014 UA176	0.014	-1
2014 UC115	0.054	-1
2014 UD57	0.021	-1
2014 UG176	0.149	2014 10 25.59421
2014 UN114	0.032	-1
2014 UR	0.014	-1
2014 UT33	0.062	-1
2014 UV115	0.086	-1
2014 UV210	0.012	-1
2014 UX7	0.023	-1
2014 UY	0.026	-1
2014 UY7	0.033	-1
2014 VG2	0.086	2014 12 22.53181
2014 VH2	0.151	-1
2014 VL6	0.157	2014 10 30.08568
2014 VP	0.082	-1
2014 VP35	0.065	2014 11 14.55165
2014 WA366	0.012	-1
2014 WB366	0.033	-1
2014 WC201	0.017	-1
2014 WE120	0.045	-1
2014 WE121	0.057	-1
2014 WF201	0.023	-1
2014 WJ201	0.033	-1
2014 WK368	0.156	2014 11 19.76653
2014 WO69	0.057	-1
2014 WP4	0.041	-1
2014 WQ201	0.086	-1
2014 WR6	0.026	-1
2014 WS7	0.01	-1
2014 WU200	0.004	-1
2014 WX202	0.004	-1
2014 WX4	0.016	-1
2014 WY119	0.016	-1
2014 WZ4	0.059	-1
2014 XF32	0.119	-1
2014 YC	0.108	-1
2014 YD	0.041	-1
2014 YD42	0.108	-1
2014 YN	0.022	-1
2014 YT34	0.034	-1
2014 YU41	0.052	-1
2014 YW34	0.136	-1
2014 YZ8	0.054	-1
2015 AA44	0.049	-1
2015 AF44	0.019	-1
2015 AK1	0.041	-1
2015 AK280	0.13	2015 01 15.14465
2015 AK45	0.016	-1
2015 AN44	0.027	-1
2015 AP44	0.017	-1
2015 AZ43	0.059	-1
2015 BD	0.047	-1
2015 BF511	0.033	-1
2015 BG92	0.028	-1
2015 BK	0.148	-1
2015 BK4	0.031	-1
2015 BK509	0.086	-1
2015 BM510	0.028	-1
2015 BW310	0.118	2014 12 22.06575
2015 BY516	0.103	2015 01 29.93723
2015 BZ310	0.147	-1
2015 CB1	0.024	-1
2015 CD1	0.007	-1
2015 CF	0.059	-1
2015 CG	0.023	-1
2015 CM	0.018	-1
2015 CN13	0.065	-1
2015 CO	0.017	-1
2015 CQ13	0.022	-1
2015 CS	0.016	-1
2015 CW12	0.075	-1
2015 CW13	0.078	-1
2015 CZ12	0.025	-1
2015 DC54	0.018	-1
2015 DK200	0.023	-1
2015 DO215	0.014	-1
2015 DP155	0.142	2018 05 04.12393
2015 DP53	0.039	-1
2015 DS	0.031	-1
2015 DS53	0.043	-1
2015 DT	0.067	-1
2015 DU	0.016	-1
2015 DX198	0.113	2015 02 17.03010
2015 DZ198	0.036	-1
2015 EF	0.013	-1
2015 EG	0.023	-1
2015 EK	0.016	-1
2015 EL7	0.086	-1
2015 EO	0.013	-1
2015 EP	0.019	-1
2015 EQ	0.018	-1
2015 ET	0.014	-1
2015 FC	0.014	-1
2015 FG120	0.078	-1
2015 FG36	0.054	-1
2015 FG37	0.136	-1
2015 FL290	0.108	-1
2015 FN120	0.059	2015 03 21.21733
2015 FP	0.027	-1
2015 FQ	0.103	-1
2015 FS33	0.108	2015 04 08.23707
2015 FW33	0.021	-1
2015 FX33	0.022	-1
2015 FY284	0.136	-1
2015 GC14	0.033	-1
2015 GY	0.136	2015 05 10.76255
2015 HB117	0.057	-1
2015 HB177	0.036	-1
2015 HF1	0.086	2015 04 08.13940
2015 HM10	0.057	-1
2015 HO116	0.024	-1
2015 HR1	0.041	-1
2015 HS1	0.034	-1
2015 HS11	0.011	-1
2015 HU171	0.054	2015 05 09.34056
2015 HU9	0.062	-1
2015 HV11	0.045	-1
2015 HW11	0.065	-1
2015 HX181	0.049	2015 04 20.77212
2015 JD	0.024	-1
2015 JF	0.016	-1
2015 JH2	0.103	-1
2015 JJ2	0.13	-1
2015 JR	0.016	-1
2015 JV	0.156	-1
2015 JW	0.021	-1
2015 KA	0.017	-1
2015 KE	0.017	-1
2015 KJ19	0.095	-1
2015 KL122	0.103	-1
2015 KM120	0.034	-1
2015 KO122	0.012	-1
2015 KQ120	0.014	-1
2015 KQ57	0.108	-1
2015 KS121	0.082	-1
2015 KT56	0.018	-1
2015 KU121	0.078	-1
2015 KV18	0.052	-1
2015 KW120	0.019	-1
2015 LA2	0.075	-1
2015 LG14	0.068	-1
2015 LH	0.011	-1
2015 LJ	0.034	-1
2015 LK24	0.142	2015 07 27.81320
2015 LM21	0.113	2015 06 02.73874
2015 LN21	0.075	-1
2015 LQ21	0.037	-1
2015 MC	0.045	-1
2015 ME116	0.103	-1
2015 MN44	0.098	-1
2015 MQ116	0.062	-1
2015 MX103	0.039	-1
2015 MY53	0.025	-1
2015 NA14	0.118	2015 08 11.61125
2015 OF26	0.142	-1
2015 OM21	0.094	-1
2015 OQ21	0.008	-1
2015 OV	0.057	-1
2015 PK57	0.039	2015 09 09.30843
2015 PK9	0.054	-1
2015 PQ	0.086	-1
2015 PQ56	0.09	-1
2015 PT227	0.049	-1
2015 QA	0.078	-1
2015 QB	0.043	-1
2015 QG	0.052	2015 08 08.63142
2015 QT3	0.047	-1
2015 RF36	0.062	-1
2015 RH2	0.102	2019 10 02.59835
2015 RH36	0.057	-1
2015 RO36	0.078	-1
2015 RQ36	0.037	-1
2015 SA	0.026	-1
2015 SO2	0.049	-1
2015 SU	0.025	-1
2015 SU16	0.03	-1
2015 SV6	0.009	-1
2015 SW6	0.038	-1
2015 SY	0.065	-1
2015 SZ	0.059	-1
2015 SZ2	0.025	-1
2015 TA	0.142	-1
2015 TC25	0.004	-1
2015 TD144	0.09	-1
2015 TE	0.094	2015 10 17.52310
2015 TF	0.108	2010 05 27.290368
2015 TG238	0.082	-1
2015 TJ1	0.09	-1
2015 TK237	0.09	2015 10 08.22474
2015 TK238	0.124	2015 10 03.46523
2015 TL143	0.065	-1
2015 TL238	0.031	-1
2015 TM143	0.055	-1
2015 TW237	0.068	-1
2015 TX24	0.144	2015 10 27.96432
2015 TY178	0.11	-1
2015 TZ143	0.016	-1
2015 TZ237	0.043	-1
2015 UC	0.034	-1
2015 UJ51	0.156	-1
2015 US51	0.098	-1
2015 VA106	0.086	-1
2015 VB65	0.078	2015 12 01.81185
2015 VE66	0.045	-1
2015 VF1	0.052	2015 11 04.17026
2015 VG105	0.047	-1
2015 VN105	0.009	-1
2015 VO105	0.045	-1
2015 VO142	0.005	-1
2015 VU65	0.016	2015 11 15.52756
2015 VY105	0.005	-1
2015 VZ145	0.059	2015 11 13.32461
2015 VZ2	0.09	-1
2015 WA13	0.018	-1
2015 WF13	0.068	-1
2015 XA379	0.026	-1
2015 XB	0.045	-1
2015 XB130	0.13	2015 12 03.72434
2015 XC	0.027	-1
2015 XE	0.034	2015 11 16.28344
2015 XF	0.039	-1
2015 XM128	0.052	-1
2015 XO	0.018	-1
2015 XO129	0.027	2015 11 19.03662
2015 XU378	0.156	-1
2015 YB1	0.156	2016 01 08.67339
2015 YC18	0.026	2015 12 26.48202
2015 YD	0.045	-1
2015 YD1	0.043	-1
2015 YE	0.062	-1
2015 YK	0.02	2016 01 01.62559
2015 YS9	0.019	-1
2015 YU7	0.15	-1
2015 YX7	0.118	2015 11 01.51322
2016 AD166	0.057	2016 01 09.46798
2016 AF166	0.025	-1
2016 AG166	0.047	-1
2016 AK8	0.13	2016 01 15.01103
2016 AO131	0.041	-1
2016 AU65	0.086	-1
2016 AU9	0.025	-1
2016 AV164	0.031	-1
2016 AZ8	0.153	2016 01 03.83415
2016 BB15	0.039	-1
2016 BC15	0.03	-1
2016 BE	0.058	-1
2016 BF1	0.025	-1
2016 BJ15	0.065	2016 01 25.97944
2016 BW14	0.021	-1
2016 CB138	0.054	-1
2016 CB30	0.059	-1
2016 CB31	0.03	2016 02 27.56775
2016 CF29	0.031	-1
2016 CG18	0.006	-1
2016 CJ30	0.04	-1
2016 CK246	0.124	2016 03 08.49989
2016 CK29	0.021	-1
2016 CL136	0.158	2016 02 06.11112
2016 CL29	0.036	-1
2016 CM194	0.009	-1
2016 CO29	0.03	-1
2016 CS247	0.024	-1
2016 CU29	0.014	-1
2016 CU30	0.142	2016 03 26.34495
2016 DK	0.098	-1
2016 DN2	0.012	-1
2016 DO2	0.054	2016 02 19.21513
2016 DV1	0.033	-1
2016 EB1	0.026	-1
2016 EC157	0.059	-1
2016 ED	0.054	-1
2016 EE1	0.037	2016 02 29.58734
2016 EF28	0.136	-1
2016 EK27	0.108	-1
2016 EL157	0.011	-1
2016 EN156	0.008	-1
2016 EO84	0.1	-1
2016 EQ1	0.016	-1
2016 ES1	0.043	-1
2016 EV1	0.049	2016 02 23.53521
2016 EV27	0.062	-1
2016 EZ26	0.09	2016 04 10.16613
2016 FA	0.026	-1
2016 FC	0.014	-1
2016 FC13	0.113	2016 04 08.55734
2016 FL12	0.016	-1
2016 FO12	0.09	2016 03 25.47613
2016 FW13	0.004	-1
2016 FX2	0.054	-1
2016 FZ2	0.036	-1
2016 GB222	0.013	-1
2016 GE1	0.014	-1
2016 GF216	0.031	-1
2016 GP220	0.117	2016 05 13.95289
2016 GS2	0.075	-1
2016 GV221	0.031	-1
2016 GW221	0.034	-1
2016 HB	0.039	-1
2016 HN2	0.059	-1
2016 HN3	0.142	2016 04 22.68693
2016 HO	0.022	-1
2016 HP3	0.054	-1
2016 HQ19	0.052	-1
2016 JC6	0.158	2016 05 24.83201
2016 JD18	0.036	-1
2016 JE18	0.016	-1
2016 JG12	0.086	-1
2016 JP17	0.071	-1
2016 JV	0.031	-1
2016 JW28	0.024	2016 05 12.90821
2016 KD	0.103	2016 05 26.14983
2016 LB	0.082	2016 05 30.48237
2016 LD9	0.098	2016 06 01.43166
2016 LF2	0.098	2016 06 05.23651
2016 LG	0.026	-1
2016 LG49	0.098	-1
2016 LO48	0.025	-1
2016 MA	0.009	-1
2016 NA1	0.118	-1
2016 NC1	0.025	-1
2016 ND1	0.026	-1
2016 NF23	0.078	-1
2016 NG33	0.149	-1
2016 NG38	0.028	-1
2016 NK39	0.049	-1
2016 NM15	0.009	-1
2016 NN15	0.014	-1
2016 NS	0.025	-1
2016 OJ1	0.142	-1
2016 PA40	0.039	-1
2016 PA8	0.124	-1
2016 PB8	0.094	-1
2016 PG67	0.098	2016 08 05.36426
2016 PJ66	0.113	-1
2016 PP27	0.057	-1
2016 PU	0.142	-1
2016 PX8	0.012	-1
2016 QB2	0.045	-1
2016 QL44	0.028	-1
2016 QS11	0.02	-1
2016 RB1	0.007	-1
2016 RD20	0.033	-1
2016 RD34	0.009	-1
2016 RF34	0.037	-1
2016 RH18	0.142	-1
2016 RJ18	0.059	-1
2016 RL20	0.059	-1
2016 RM20	0.017	-1
2016 RM40	0.034	2016 09 08.69395
