Name	Diam	type	PHA	search?
2011 AL37	0.041	Apollo	Near	True
2011 AV55	0.059	Apollo	Near	True
2011 BA45	0.149	Apollo	Near	True
2011 BG24	0.014	Apollo	Near	True
2011 BY24	0.09	Apollo	Near	True
2011 CG2	0.156	Apollo	Potentially	True
2011 GM62	0.082	Apollo	Near	True
2011 GO65	0.077	Amor	Near	True
2011 GP59	0.041	Aten	Near	True
2011 HO53	0.068	Amor	Near	True
2011 HP	0.132	Apollo	Near	True
2011 JL	0.123	Amor	Near	True
2011 KN17	0.09	Apollo	Near	True
2011 LS17	0.09	Apollo	Near	True
2011 LY20	0.098	Mars	-1	True
2011 MD	0.007	Amor	Near	True
2011 OE	0.065	Amor	Near	True
2011 OJ10	0.108	Amor	Near	True
2011 OJ45	0.019	Apollo	Near	True
2011 OS15	0.043	Amor	Near	True
2011 OV17	0.065	Amor	Near	True
2011 OY17	0.124	Amor	Near	True
2011 OY4	0.043	Amor	Near	True
2011 PX	0.13	Amor	Near	True
2011 PZ	0.118	Mars	-1	True
2011 QE2	0.118	Amor	Near	True
2011 QE38	0.108	Amor	Near	True
2011 QH33	0.136	Mars	-1	True
2011 QS21	0.136	Mars	-1	True
2011 QT2	0.091	Amor	Near	True
2011 QU37	0.057	Amor	Near	True
2011 QY47	0.136	Mars	-1	True
2011 RH1	0.082	Amor	Near	True
2011 RX	0.065	Amor	Near	True
2011 RY	0.082	Mars	-1	True
2011 SE248	0.098	Amor	Near	True
2011 SG173	0.03	Amor	Near	True
2011 SG47	0.142	Mars	-1	True
2011 SH16	0.118	Amor	Near	True
2011 SN26	0.065	Amor	Near	True
2011 SP26	0.052	Amor	Near	True
2011 ST232	0.156	Amor	Near	True
2011 TN9	0.157	Amor	Potentially	True
2011 UE63	0.103	Mars	-1	True
2011 UG169	0.02	Amor	Near	True
2011 UL147	0.124	Amor	Near	True
2011 UM21	0.09	Mars	-1	True
2011 UQ63	0.043	Apollo	Near	True
2011 UT	0.019	Apollo	Near	True
2011 UT91	0.071	Apollo	Near	True
2011 UV158	0.113	Apollo	Near	True
2011 UW114	0.122	Amor	Near	True
2011 WF44	0.026	Apollo	Near	True
2011 WF69	0.142	Hungaria	One	True
2011 WJ15	0.027	Apollo	Near	True
2011 WK74	0.103	Mars	-1	True
2011 XD1	0.049	Apollo	Near	True
2011 XF	0.086	Amor	Near	True
2011 XL1	0.098	Mars	-1	True
2011 YH40	0.078	Apollo	Near	True
2011 YU74	0.075	Apollo	Near	True
2012 BE77	0.13	Mars	-1	True
2012 BF14	0.054	Apollo	Near	True
2012 BF86	0.09	Aten	Near	True
2012 BJ11	0.123	Amor	Near	True
2012 BK11	0.086	Amor	Near	True
2012 BM86	0.125	Apollo	Potentially	True
2012 BR23	0.156	Amor	Near	True
2012 BX34	0.009	Aten	Near	True
2012 CL29	0.071	Amor	Near	True
