,Name,Diam,Class,H,time,type,PHA
135,2015 TK237,0.09,S*,22.6,2015,Apollo,Near
136,2015 YC18,0.026,S*,25.3,2015,Apollo,Near
137,2015 HX181,0.049,S*,23.9,2015,Apollo,Near
138,2015 YX7,0.118,S*,22.0,2015,Apollo,Near
139,2015 FS33,0.108,S*,22.2,2015,Apollo,Near
140,2015 TK238,0.124,S*,21.9,2015,Apollo,Potentially
141,2015 XO129,0.027,S*,25.2,2015,Apollo,Near
142,2015 AK280,0.13,S*,21.8,2015,Apollo,Near
143,2004 XK14,0.098,S*,22.4,2015,Aten,Near
144,2015 TE,0.094,S*,22.5,2015,Apollo,Near
145,2015 QG,0.052,S*,23.8,2015,Apollo,Near
146,2015 BY516,0.103,S*,22.3,2015,Apollo,Near
147,2014 CR,0.094,S*,22.5,2014,Apollo,Near
148,2014 VP35,0.065,S*,23.3,2014,Apollo,Near
149,2013 BZ45,0.127,S*,21.84,2014,Apollo,Potentially
150,2014 BX2,0.13,S*,21.8,2014,Apollo,Potentially
151,2014 QT295,0.02,S*,25.9,2014,Apollo,Near
152,2014 KO76,0.049,S*,23.9,2014,Apollo,Near
153,2014 WK368,0.156,S*,21.4,2014,Apollo,Potentially
154,2014 EQ49,0.13,S*,21.8,2014,Apollo,Potentially
155,2014 RQ17,0.103,S*,22.3,2014,Apollo,Near
156,2014 SV141,0.142,S*,21.6,2014,Amor,Potentially
157,2014 RH12,0.059,S*,23.5,2014,Amor,Near
158,2014 JL25,0.075,S*,23.0,2014,Apollo,Near
159,2014 BR8,0.136,S*,21.7,2014,Apollo,Near
160,2014 BH25,0.142,S*,21.6,2014,Apollo,Near
161,2014 SU260,0.13,S*,21.8,2014,Apollo,Near
162,2014 BE63,0.068,S*,23.2,2014,Apollo,Near
163,2014 MS5,0.086,S*,22.7,2014,Apollo,Near
164,2015 BW310,0.118,S*,22.0,2014,Apollo,Potentially
165,2014 VL6,0.157,S*,21.39,2014,Apollo,Potentially
166,2014 VG2,0.086,S*,22.7,2014,Apollo,Near
167,2014 NM64,0.09,S*,22.6,2014,Amor,Near
168,2014 FD,0.024,S*,25.5,2014,Apollo,Near
169,2014 SD224,0.1,S*,22.36,2014,Aten,Near
170,2014 UG176,0.149,S*,21.5,2014,Apollo,Near
171,2014 MF18,0.018,S*,26.1,2014,Aten,Near
172,2014 AG16,0.086,S*,22.7,2013,Apollo,Near
173,2013 YP139,0.142,S*,21.6,2013,Apollo,Potentially
174,2011 BY24,0.09,S*,22.6,2011,Apollo,Near
175,2010 FB81,0.156,S*,21.4,2010,Amor,Near
176,2010 NY65,0.158,S*,21.37,2010,Apollo,Potentially
177,2010 CC55,0.094,S*,22.5,2010,Apollo,Near
178,1994 CB,0.156,S*,21.4,2010,Apollo,Near
179,2010 DG77,0.156,S*,21.4,2010,Apollo,Potentially
180,2010 CB55,0.086,S*,22.7,2010,Apollo,Near
181,2010 FG81,0.065,S*,23.3,2010,Amor,Near
182,2010 FE7,0.054,S*,23.7,2010,Apollo,Near
