Name	Diam	Class	H	time
2010 NS36	0.0	C*	99.99	2010
2010 KU7	0.108	S*	22.2	2010
2010 OH126	0.156	S*	21.4	2010
2010 PP58	0.113	S	22.1	2010
2010 PU66	0.103	S*	22.3	2010
2010 PW58	0.136	S	21.7	2010
2015 TF	0.108	S*	22.2	2010
2010 QA5	0.103	S*	22.3	2010
1996 GQ	0.071	S*	23.1	2010
2014 FD7	0.149	S*	21.5	2010
2010 CN141	0.098	S*	22.4	2010
2010 KP10	0.062	S*	23.4	2010
2010 JX16	0.0	S*	99.99	2010
2010 JN71	0.156	S*	21.4	2010
2010 GP67	0.094	S*	22.5	2010
2010 GS7	0.149	S*	21.5	2010
2010 HZ104	0.094	S*	22.5	2010
2010 KX7	0.124	S*	21.9	2010
2010 HX107	0.057	S*	23.6	2010
2009 UX17	0.149	S*	21.5	2010
2010 HW81	0.156	S*	21.4	2010
2000 AA6	0.113	S*	22.1	2010
67P/Churyumov-Gerasimenko				0
Derm4c	0.103	S*	22.31	0
Derm1a	0.079	S*	22.88	0
Derm1c	0.133	S*	21.74	0
Derm0f	0.135	S*	21.71	0
93P/Lovas				0
1I/'Oumuamua			22.08	0
94P/Russell 4				0
Derm2g	0.155	S*	21.41	0
C/2017 T2  (PanSTARRS)				0
Derm3h	0.094	S*	22.49	0
Derm3k	0.107	S*	22.22	0
Derm5i	0.149	S*	21.5	0
49P/Arend-Rigaux		C		0
Derm5f	0.13	S*	21.8	0
P/2006 HR30		C		0
Derm8e	0.094	S*	22.49	0
P/2016 BA14				0
Derm7o	0.148	S*	21.52	0
Mjolnir	0.142	S*	21.6	0
YORP	0.086	S*	22.7	0
P002RZ				0
P002I6				0
P001GV				0
P0012V				0
P000ZE				0
Derm7e	0.11	S*	22.14	0
Derm7d	0.118	S*	22.0	0
P002I1				0
47P/Ashbrook-Jackson				0
P000TQ				0
P000K7				0
Kamo`oalewa	0.041	S*	24.3	0
Derm6k	0.117	S*	22.02	0
Derm6f	0.103	S*	22.31	0
P000DV				0
333P/LINEAR		C		0
Derm6e	0.094	S*	22.5	0
Derm6c	0.147	S*	21.53	0
2016 GV221	0.031	S*	24.9	-1
2016 LO48	0.025	S*	25.4	-1
2016 HO	0.022	S*	25.7	-1
2016 EF28	0.136	S*	21.7	-1
2016 HN2	0.059	S*	23.5	-1
2016 QB2	0.045	S*	24.1	-1
2016 GF216	0.031	S*	24.9	-1
2016 HP3	0.054	S*	23.7	-1
2016 LG49	0.098	S*	22.4	-1
2016 PP27	0.057	S*	23.6	-1
2016 LG	0.026	S*	25.3	-1
2016 DN2	0.012	S*	26.9	-1
2016 PJ66	0.113	S*	22.1	-1
2016 DV1	0.033	S*	24.77	-1
2016 ED	0.054	S*	23.7	-1
2016 EC157	0.059	S*	23.5	-1
2016 PU	0.142	S*	21.6	-1
2016 EK27	0.108	S*	22.2	-1
2016 EB1	0.026	S*	25.3	-1
2016 PX8	0.012	S*	27.0	-1
2016 GS2	0.075	S*	23.0	-1
2016 MA	0.009	S*	27.5	-1
2016 NC1	0.025	S*	25.4	-1
2016 GE1	0.014	S*	26.7	-1
2016 NK39	0.049	S*	23.9	-1
2016 FW13	0.004	S*	29.5	-1
2016 PA40	0.039	S*	24.4	-1
2016 JP17	0.071	S*	23.1	-1
2016 NG38	0.028	S*	25.1	-1
2016 JV	0.031	S*	24.9	-1
2016 OJ1	0.142	S*	21.6	-1
2016 FL12	0.016	S*	26.3	-1
2016 PA8	0.124	S*	21.9	-1
2016 NM15	0.009	S*	27.5	-1
2016 FC	0.014	S*	26.6	-1
2016 FA	0.026	S*	25.3	-1
2016 GW221	0.034	S*	24.7	-1
2016 EV27	0.062	S*	23.4	-1
