cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
51,4.007023,69.279061,2.6931306900E+02,6.4599739000E+01,269.3154961,64.6001328,1.5882,2.0293,0.2214,16.914,null,null,1.393E+00,15.755,null,null,7.632E-01,10.574,0.230,4.7,8.442E-01,7.848,null,null,5.770E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.782666,null,null,null,null,null,null,null
52,3.877150,-151.059498,2.6932839200E+02,6.4585330000E+01,269.3271777,64.5843875,1.8214,2.2104,0.5607,16.885,null,0.5,7.808E-01,15.169,null,1.1,1.579E+00,10.632,0.246,4.4,1.193E+00,7.764,null,0.4,1.488E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.849009,null,null,null,null,null,null,null
55,2.236779,-135.019763,2.6937352100E+02,6.4541427000E+01,269.3724993,64.5409875,1.3860,1.5192,-0.1790,16.781,0.379,2.9,1.140E+00,15.911,null,null,7.447E-01,10.539,0.218,5.0,1.267E+00,7.578,null,0.7,8.295E-01,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55268.047402,null,null,null,null,null,null,null
57,2.204634,-106.760044,2.6938864000E+02,6.4526931000E+01,269.3872766,64.5267544,1.7490,2.0556,0.4825,17.114,null,null,5.088E-01,15.713,null,null,1.307E+00,10.747,0.255,4.3,8.832E-01,7.679,null,0.6,7.199E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55268.113745,null,null,null,null,null,null,null
58,1.802336,-143.605643,2.6940339000E+02,6.4512085000E+01,269.4026997,64.5116820,1.6916,1.9371,0.1790,17.180,null,null,6.858E-01,14.940,null,1.9,6.395E-01,10.604,0.244,4.4,6.363E-01,7.904,null,null,1.170E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55268.179706,null,null,null,null,null,null,null
64,3.878117,-75.867948,2.6950653000E+02,6.4408853000E+01,269.5041115,64.4091160,1.4562,1.7147,0.3112,17.218,null,null,9.904E-01,15.339,null,1.1,1.256E+00,10.532,0.217,5.0,1.234E+00,7.534,null,1.2,1.067E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55268.642961,null,null,null,null,null,null,null
70,3.756534,120.180508,2.6957856300E+02,6.4334259000E+01,269.5806456,64.3337344,1.5998,1.8583,0.2535,16.510,null,1.5,7.050E-01,15.284,null,1.1,5.547E-01,10.569,0.238,4.6,8.669E-01,7.992,null,null,1.200E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55268.973657,null,null,null,null,null,null,null
73,2.408055,158.886337,2.6962138000E+02,6.4289419000E+01,269.6219354,64.2887950,1.4832,1.6513,-0.0751,16.703,0.415,2.6,6.253E-01,14.979,null,2.0,1.499E+00,11.035,0.339,3.2,6.402E-01,7.152,null,2.0,1.604E+00,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55269.172304,null,null,null,null,null,null,null
74,0.923077,123.708442,2.6963535300E+02,6.4274202000E+01,269.6358444,64.2740597,2.0323,2.4430,0.4192,16.403,null,1.7,7.207E-01,15.541,null,0.6,1.214E+00,11.060,0.353,3.1,9.113E-01,7.503,null,1.2,9.224E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55269.238265,null,null,null,null,null,null,null
76,0.531929,-156.988036,2.6964958100E+02,6.4259296000E+01,269.6494480,64.2591600,1.4189,1.6568,0.2273,16.653,null,1.1,7.770E-01,15.191,null,1.6,9.348E-01,10.705,0.252,4.3,1.203E+00,7.660,0.403,2.7,8.952E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55269.304608,null,null,null,null,null,null,null
79,0.427184,3.808779,2.6971919300E+02,6.4183500000E+01,269.7192111,64.1836184,1.6092,1.9077,0.2909,17.149,null,null,6.965E-01,14.962,null,1.9,1.947E+00,10.727,0.264,4.1,9.495E-01,7.951,null,null,1.168E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55269.635304,null,null,null,null,null,null,null
80,2.074439,-4.571211,2.6973312900E+02,6.4168447000E+01,269.7330236,64.1690214,1.9473,2.0204,0.5438,17.069,null,null,2.433E+00,15.634,null,0.3,5.984E-01,10.885,0.340,3.2,1.358E+00,7.837,0.495,2.2,7.963E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55269.701647,null,null,null,null,null,null,null
83,1.454703,-158.014878,2.6977406500E+02,6.4122463000E+01,269.7737184,64.1220883,1.7169,2.0259,0.4487,16.888,null,0.3,8.794E-01,15.164,null,1.7,8.308E-01,10.799,0.276,3.9,9.220E-01,7.986,null,null,7.761E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55269.899912,null,null,null,null,null,null,null
85,1.801469,162.105245,2.6978781000E+02,6.4107309000E+01,269.7881621,64.1068328,1.7675,2.0318,-0.0846,16.662,null,1.1,6.855E-01,15.430,null,0.4,5.908E-01,10.876,0.298,3.6,1.887E+00,7.209,null,1.9,1.649E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55269.966255,null,null,null,null,null,null,null
86,0.637998,-89.644185,2.6980131400E+02,6.4091905000E+01,269.8009084,64.0919061,1.4039,1.5919,0.1602,17.293,null,null,5.468E-01,15.598,0.443,2.5,1.746E+00,10.708,0.263,4.1,6.525E-01,7.753,0.459,2.4,1.368E+00,2,0,0.000,0.000,0.000,0.000,0000,UCBC,1,55270.032344,null,null,null,null,null,null,null
87,1.362905,91.967444,2.6982827500E+02,6.4061129000E+01,269.8291400,64.0611160,1.4866,1.8373,0.2654,16.781,null,0.7,6.660E-01,15.518,null,0.5,9.535E-01,10.454,0.207,5.3,1.702E+00,7.393,null,1.2,9.583E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.164648,null,null,null,null,null,null,null
88,1.871594,-60.992777,2.6984182900E+02,6.4045872000E+01,269.8407901,64.0461241,1.3467,1.4587,0.1834,16.342,0.264,4.1,1.397E+00,15.435,null,0.8,7.522E-01,11.014,0.338,3.2,1.619E+00,7.975,null,0.0,9.384E-01,1,0,0.000,0.000,0.000,0.000,0000,BUBU,1,55270.230991,null,null,null,null,null,null,null
89,4.255104,41.231159,2.6985504900E+02,6.4030250000E+01,269.8568281,64.0311389,0.1430,0.1656,-0.0298,12.562,0.032,34.1,4.802E-01,12.619,0.052,20.9,1.023E+00,11.315,0.465,2.3,1.067E+00,7.314,null,1.1,1.082E+00,3,0,0.000,0.000,0.000,0.000,0000,AACU,1,55270.296952,687245905,13.227,0.022,12.748,0.023,12.676,0.025
91,1.227901,-10.926518,2.6989500500E+02,6.3983901000E+01,269.8948576,63.9842359,1.5044,1.7124,0.3191,17.049,null,null,1.239E+00,15.608,null,null,1.428E+00,10.708,0.300,3.6,1.514E+00,7.604,null,0.7,6.553E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.495599,null,null,null,null,null,null,null
92,0.191225,-86.438114,2.6990803900E+02,6.3968170000E+01,269.9079182,63.9681733,1.6037,1.9864,0.0979,16.826,null,0.8,1.075E+00,15.774,0.542,2.0,7.072E-01,10.588,0.235,4.6,1.140E+00,7.727,null,0.5,6.904E-01,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55270.561560,null,null,null,null,null,null,null
94,0.768121,72.713850,2.6993434700E+02,6.3937083000E+01,269.9348107,63.9371464,1.2057,1.3884,-0.1064,17.236,null,null,2.577E+00,15.838,null,null,1.061E+00,10.407,0.207,5.3,1.082E+00,7.936,null,null,8.339E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.693991,null,null,null,null,null,null,null
95,2.495989,63.338807,2.6994743500E+02,6.3921505000E+01,269.9488445,63.9218161,1.5623,1.8908,-0.2360,17.203,null,null,1.067E+00,15.902,null,null,1.158E+00,10.565,0.220,4.9,7.771E-01,7.614,null,0.8,1.001E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55270.760207,null,null,null,null,null,null,null
96,2.519048,-1.774811,2.6994752800E+02,6.3921618000E+01,269.9474787,63.9223174,1.3930,1.5582,0.2847,16.659,0.377,2.9,9.484E-01,15.776,null,0.2,7.787E-01,10.891,0.276,3.9,5.774E-01,7.282,null,1.9,1.154E+00,2,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55270.760334,null,null,null,null,null,null,null
97,3.539841,108.376065,2.6996038100E+02,6.3905780000E+01,269.9625025,63.9054700,1.1971,1.3938,0.2794,16.537,0.380,2.9,8.106E-01,15.569,null,0.4,5.813E-01,10.443,0.201,5.4,8.231E-01,7.454,null,1.0,1.977E+00,2,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55270.826295,null,null,null,null,null,null,null
98,0.756086,-104.560161,2.6997346700E+02,6.3890255000E+01,269.9730051,63.8902022,1.8360,2.0842,0.4477,17.052,null,0.2,6.081E-01,15.659,null,0.4,1.141E+00,10.777,0.256,4.2,7.291E-01,7.412,null,1.4,8.901E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55270.892638,null,null,null,null,null,null,null
101,0.923562,67.928315,2.7003737300E+02,6.3811185000E+01,270.0379117,63.8112814,1.4187,1.6745,0.1333,16.861,null,0.0,7.432E-01,15.821,null,null,5.655E-01,10.476,0.204,5.3,9.711E-01,7.395,null,1.6,5.903E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.223207,null,null,null,null,null,null,null
103,2.083173,-60.162803,2.7006276400E+02,6.3779542000E+01,270.0616279,63.7798299,1.9261,2.2069,-0.4537,17.087,null,null,1.070E+00,15.272,null,0.9,8.364E-01,10.703,0.259,4.2,1.367E+00,7.986,null,null,1.679E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.355638,null,null,null,null,null,null,null
104,1.154849,-143.749689,2.7010050900E+02,6.3731857000E+01,270.1000804,63.7315983,1.2788,1.4501,0.3075,16.915,null,null,8.382E-01,15.827,null,null,6.898E-01,10.423,0.185,5.9,8.519E-01,7.324,null,1.7,1.189E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.554285,null,null,null,null,null,null,null
107,3.648302,142.564624,2.7013758000E+02,6.3683568000E+01,270.1389695,63.6827633,1.4373,1.7510,0.1320,17.135,null,null,7.504E-01,15.808,null,null,1.004E+00,10.521,0.225,4.8,5.882E-01,7.906,null,null,9.248E-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55271.752550,null,null,null,null,null,null,null
109,1.585646,-159.964004,2.7016216300E+02,6.3651341000E+01,270.1618230,63.6509272,1.2225,1.4718,0.1523,16.923,null,0.2,6.371E-01,15.328,0.343,3.2,1.083E+00,10.385,0.182,6.0,7.788E-01,8.032,null,0.0,1.664E+00,1,0,0.000,0.000,0.000,0.000,0000,UBBU,1,55271.884854,null,null,null,null,null,null,null
110,2.002700,175.783686,2.7017451800E+02,6.3635356000E+01,270.1746101,63.6348012,1.3255,1.5045,-0.2325,16.665,0.387,2.8,1.431E+00,15.122,0.323,3.4,7.254E-01,10.904,0.304,3.6,1.145E+00,7.688,null,0.8,1.284E+00,1,0,0.000,0.000,0.000,0.000,0000,CBBU,1,55271.951197,null,null,null,null,null,null,null
112,0.741968,179.740449,2.7019883300E+02,6.3602946000E+01,270.1988351,63.6027399,1.5286,1.7896,-0.1922,16.483,null,1.6,9.696E-01,15.436,0.398,2.7,1.408E+00,10.855,0.280,3.9,1.440E+00,7.694,null,0.6,1.411E+00,1,0,0.000,0.000,0.000,0.000,0000,UCBU,1,55272.083501,null,null,null,null,null,null,null
113,1.314698,89.576022,2.7019892000E+02,6.3603062000E+01,270.1997414,63.6030647,1.6462,1.8545,-0.0586,16.661,null,1.2,9.280E-01,15.559,0.429,2.5,8.624E-01,10.972,0.302,3.6,7.038E-01,7.540,null,1.0,1.348E+00,1,0,0.000,0.000,0.000,0.000,D000,UCBU,1,55272.083629,null,null,null,null,null,null,null
115,1.987099,109.361661,2.7023493100E+02,6.3554046000E+01,270.2361003,63.5538630,1.5936,1.9171,-0.1683,16.962,null,null,1.195E+00,15.676,null,null,6.330E-01,10.615,0.225,4.8,1.241E+00,7.589,null,0.6,6.871E-01,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55272.281894,null,null,null,null,null,null,null
116,0.288671,142.598547,2.7024701900E+02,6.3537877000E+01,270.2471283,63.5378133,1.2535,1.3929,-0.3117,16.269,0.286,3.8,1.101E+00,14.992,null,1.8,4.752E-01,10.915,0.296,3.7,1.181E+00,7.823,null,null,5.232E-01,2,0,0.000,0.000,0.000,0.000,0000,BUBU,1,55272.348237,null,null,null,null,null,null,null
118,0.292616,167.979893,2.7029441900E+02,6.3472187000E+01,270.2944569,63.4721075,2.6224,3.0427,0.6688,17.195,null,null,1.194E+00,15.759,null,null,9.877E-01,10.272,null,2.0,7.549E-01,5.486,null,null,2.874E+00,1,0,0.000,0.000,0.000,0.000,0000,UUUU,1,55272.612845,null,null,null,null,null,null,null
119,3.180494,-160.096488,2.7030611900E+02,6.3455627000E+01,270.3054460,63.4547963,1.6260,1.7279,-0.3102,16.955,0.468,2.3,9.500E-01,15.839,null,null,1.178E+00,10.801,null,1.9,9.402E-01,7.367,0.350,3.1,5.963E-01,1,0,0.000,0.000,0.000,0.000,0000,CUUB,1,55272.678933,null,null,null,null,null,null,null
122,1.270393,111.110438,2.7032947400E+02,6.3422530000E+01,270.3302098,63.4224029,1.3951,1.6289,0.0908,17.140,null,null,6.778E-01,15.079,null,1.8,6.044E-01,10.564,0.237,4.6,9.624E-01,7.597,0.423,2.6,1.114E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55272.811237,null,null,null,null,null,null,null
123,0.710859,-53.483332,2.7034121200E+02,6.3406108000E+01,270.3408575,63.4062255,1.5178,1.8435,0.3934,16.943,null,0.4,7.452E-01,15.602,null,0.4,1.213E+00,10.612,0.216,5.0,1.019E+00,7.506,null,1.0,1.232E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55272.877580,null,null,null,null,null,null,null
124,2.242838,-6.974724,2.7035265800E+02,6.3389301000E+01,270.3524891,63.3899194,1.1976,1.3613,0.1109,17.035,null,0.2,5.165E-01,15.157,null,1.6,5.995E-01,10.367,0.193,5.6,1.409E+00,7.630,0.373,2.9,1.320E+00,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55272.943541,null,null,null,null,null,null,null
125,0.744935,122.080102,2.7036430900E+02,6.3372812000E+01,270.3647002,63.3727021,1.0854,1.2523,-0.2232,17.164,null,null,1.177E+00,15.234,null,1.3,6.998E-01,10.253,0.167,6.5,7.351E-01,7.482,null,0.8,1.426E+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55273.009884,null,null,null,null,null,null,null
