,cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,clon,clat,igra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ph_qual,sso_flg,mjd,tmass_key,j_m_2mass,_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
24,49,0.430670,-47.122791,2.6928258600e+02,6.4628819000e+01,269.2823814,64.6289004,17h57m07.77s,64d37m44.04s,1.8413,2.1231,0.2600,16.715,null,1.1,7.879e-01,15.588,null,null,1.509e+00,10.772,0.281,3.9,7.801e-01,7.464,null,1.2,1.484e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.650362,null,null,null,null,null,null,null
25,50,0.847217,111.853016,2.6929801000e+02,6.4614452000e+01,269.2985195,64.6143644,17h57m11.64s,64d36m51.71s,1.6703,1.8727,0.4171,17.137,null,null,9.103e-01,15.353,null,0.9,6.452e-01,10.782,0.267,4.1,1.476e+00,7.849,0.465,2.3,8.577e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBC,1,55267.716705,null,null,null,null,null,null,null
26,51,4.020025,69.349136,2.6931306000e+02,6.4599739000e+01,269.3154961,64.6001328,17h57m15.72s,64d36m00.48s,1.5882,2.0293,0.2214,16.914,null,null,1.393e+00,15.755,null,null,7.632e-01,10.574,0.230,4.7,8.442e-01,7.848,null,null,5.770e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.782666,null,null,null,null,null,null,null
27,52,3.874340,-151.245228,2.6932838400e+02,6.4585331000e+01,269.3271777,64.5843875,17h57m18.52s,64d35m03.80s,1.8214,2.2104,0.5607,16.885,null,0.5,7.808e-01,15.169,null,1.1,1.579e+00,10.632,0.246,4.4,1.193e+00,7.764,null,0.4,1.488e+00,2,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55267.849009,null,null,null,null,null,null,null
28,55,2.226956,-135.273235,2.6937351200e+02,6.4541427000e+01,269.3724993,64.5409875,17h57m29.40s,64d32m27.55s,1.3860,1.5192,-0.1790,16.781,0.379,2.9,1.140e+00,15.911,null,null,7.447e-01,10.539,0.218,5.0,1.267e+00,7.578,null,0.7,8.295e-01,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55268.047402,null,null,null,null,null,null,null
29,57,2.192342,-106.955156,2.6938863100e+02,6.4526932000e+01,269.3872766,64.5267544,17h57m32.95s,64d31m36.32s,1.7490,2.0556,0.4825,17.114,null,null,5.088e-01,15.713,null,null,1.307e+00,10.747,0.255,4.3,8.832e-01,7.679,null,0.6,7.199e-01,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55268.113745,null,null,null,null,null,null,null
30,58,1.797011,-144.031592,2.6940338100e+02,6.4512086000e+01,269.4026997,64.5116820,17h57m36.65s,64d30m42.06s,1.6916,1.9371,0.1790,17.180,null,null,6.858e-01,14.940,null,1.9,6.395e-01,10.604,0.244,4.4,6.363e-01,7.904,null,null,1.170e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55268.179706,null,null,null,null,null,null,null
31,64,3.866055,-75.822941,2.6950652200e+02,6.4408853000e+01,269.5041115,64.4091160,17h58m00.99s,64d24m32.82s,1.4562,1.7147,0.3112,17.218,null,null,9.904e-01,15.339,null,1.1,1.256e+00,10.532,0.217,5.0,1.234e+00,7.534,null,1.2,1.067e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,0,55268.642961,null,null,null,null,null,null,null
32,70,3.769128,120.132481,2.6957855500e+02,6.4334260000e+01,269.5806456,64.3337344,17h58m19.35s,64d20m01.44s,1.5998,1.8583,0.2535,16.510,null,1.5,7.050e-01,15.284,null,1.1,5.547e-01,10.569,0.238,4.6,8.669e-01,7.992,null,null,1.200e+00,1,0,0.000,0.000,0.000,0.000,0000,UUBU,1,55268.973657,null,null,null,null,null,null,null
33,73,2.415936,158.640667,2.6962137200e+02,6.4289420000e+01,269.6219354,64.2887950,17h58m29.26s,64d17m19.66s,1.4832,1.6513,-0.0751,16.703,0.415,2.6,6.253e-01,14.979,null,2.0,1.499e+00,11.035,0.339,3.2,6.402e-01,7.152,null,2.0,1.604e+00,1,0,0.000,0.000,0.000,0.000,0000,CUBU,1,55269.172304,null,null,null,null,null,null,null
