,Name,Diam,Class,H,time,type,PHA
188,2017RN17,0.136,S*,21.7,2017,Apollo,Near
189,2017EK,0.043,S*,24.2,2017,Apollo,Near
190,2017KR27,0.059,S*,23.5,2017,Apollo,Near
191,2008WL,0.136,S*,21.7,2017,Apollo,Near
192,2017MB5,0.086,S*,22.7,2017,Apollo,Near
193,2017PL26,0.108,S*,22.2,2017,Apollo,Near
194,2017HP49,0.078,S*,22.9,2017,Apollo,Near
195,2017FL127,0.078,S*,22.9,2017,Apollo,Near
196,2017KO31,0.065,S*,23.3,2017,Amor,Near
197,2017EL4,0.025,S*,25.4,2017,Apollo,Near
198,2008CM20,0.149,S*,21.5,2017,Amor,Near
199,2016LB,0.082,S*,22.8,2016,Apollo,Near
200,2016LD9,0.098,S*,22.4,2016,Apollo,Near
201,2016KD,0.103,S*,22.3,2016,Apollo,Near
202,2016JW28,0.024,S*,25.5,2016,Apollo,Near
203,2016AK8,0.13,S*,21.8,2016,Amor,Near
204,2016EZ26,0.09,S*,22.6,2016,Apollo,Near
205,2016CU30,0.142,S*,21.6,2016,Amor,Near
206,2016AD166,0.057,S*,23.6,2016,Apollo,Near
207,2016EE1,0.037,S*,24.5,2016,Apollo,Near
208,2009UG,0.065,S*,23.3,2016,Aten,Near
209,2015YB1,0.156,S*,21.4,2016,Apollo,Near
210,2016FC13,0.113,S*,22.1,2016,Apollo,Near
211,2016EV1,0.049,S*,23.9,2016,Apollo,Near
212,2016FO12,0.09,S*,22.6,2016,Apollo,Near
213,2016GP220,0.117,S*,22.02,2016,Apollo,Near
214,2016CK246,0.124,S*,21.9,2016,Amor,Near
215,2016LF2,0.098,S*,22.4,2016,Amor,Near
216,2008PR9,0.096,S*,22.46,2016,Aten,Near
217,2016BJ15,0.065,S*,23.3,2016,Apollo,Near
218,2016CB31,0.03,S*,25.0,2016,Apollo,Near
219,2015YK,0.02,S*,25.9,2016,Apollo,Near
220,2016DO2,0.054,S*,23.7,2016,Apollo,Near
221,2016TM56,0.012,S*,26.9,2016,Apollo,Near
222,2016YF8,0.098,S*,22.4,2016,Apollo,Near
223,2016XA18,0.071,S*,23.1,2016,Apollo,Near
224,2016WN48,0.033,S*,24.8,2016,Apollo,Near
225,2002AO11,0.086,S*,22.7,2016,Aten,Near
226,2016VK6,0.098,S*,22.4,2016,Amor,Near
227,2016UD41,0.082,S*,22.8,2016,Apollo,Near
228,2016TZ19,0.07,S*,23.15,2016,Aten,Near
229,2016TX17,0.059,S*,23.5,2016,Apollo,Near
230,2016TB11,0.027,S*,25.2,2016,Apollo,Near
231,2016RW,0.068,S*,23.2,2016,Apollo,Near
232,2016PG67,0.098,S*,22.4,2016,Amor,Near
233,2016TB57,0.018,S*,26.1,2016,Apollo,Near
234,2016RM40,0.034,S*,24.7,2016,Apollo,Near
235,2015FN120,0.059,S*,23.5,2015,Apollo,Near
236,2015XB130,0.13,S*,21.8,2015,Amor,Near
237,2015HU171,0.054,S*,23.7,2015,Apollo,Near
238,2015PK57,0.039,S*,24.4,2015,Apollo,Near
239,2015VB65,0.078,S*,22.9,2015,Apollo,Near
240,2015VF1,0.052,S*,23.8,2015,Apollo,Near
241,2015NA14,0.118,S*,22.0,2015,Aten,Near
242,2015VU65,0.016,S*,26.4,2015,Apollo,Near
243,2015VZ145,0.059,S*,23.5,2015,Apollo,Near
244,2015HF1,0.086,S*,22.7,2015,Apollo,Near
245,2015XE,0.034,S*,24.7,2015,Apollo,Near
246,2015DX198,0.113,S*,22.1,2015,Amor,Near
247,2007YJ,0.124,S*,21.9,2015,Apollo,Near
248,2015LM21,0.113,S*,22.1,2015,Apollo,Near
249,2015TK237,0.09,S*,22.6,2015,Apollo,Near
250,2015YC18,0.026,S*,25.3,2015,Apollo,Near
251,2015HX181,0.049,S*,23.9,2015,Apollo,Near
252,2015YX7,0.118,S*,22.0,2015,Apollo,Near
253,2015FS33,0.108,S*,22.2,2015,Apollo,Near
254,2015XO129,0.027,S*,25.2,2015,Apollo,Near
255,2015AK280,0.13,S*,21.8,2015,Apollo,Near
256,2004XK14,0.098,S*,22.4,2015,Aten,Near
257,2015TE,0.094,S*,22.5,2015,Apollo,Near
258,2015QG,0.052,S*,23.8,2015,Apollo,Near
259,2015BY516,0.103,S*,22.3,2015,Apollo,Near
260,2014CR,0.094,S*,22.5,2014,Apollo,Near
261,2014VP35,0.065,S*,23.3,2014,Apollo,Near
262,2014QT295,0.02,S*,25.9,2014,Apollo,Near
263,2014KO76,0.049,S*,23.9,2014,Apollo,Near
264,2014RQ17,0.103,S*,22.3,2014,Apollo,Near
265,2014RH12,0.059,S*,23.5,2014,Amor,Near
266,2014JL25,0.075,S*,23.0,2014,Apollo,Near
267,2014BR8,0.136,S*,21.7,2014,Apollo,Near
268,2014BH25,0.142,S*,21.6,2014,Apollo,Near
269,2014SU260,0.13,S*,21.8,2014,Apollo,Near
270,2014BE63,0.068,S*,23.2,2014,Apollo,Near
271,2014MS5,0.086,S*,22.7,2014,Apollo,Near
272,2014VG2,0.086,S*,22.7,2014,Apollo,Near
273,2014NM64,0.09,S*,22.6,2014,Amor,Near
274,2014FD,0.024,S*,25.5,2014,Apollo,Near
275,2014SD224,0.1,S*,22.36,2014,Aten,Near
276,2014UG176,0.149,S*,21.5,2014,Apollo,Near
277,2014MF18,0.018,S*,26.1,2014,Aten,Near
278,2014AG16,0.086,S*,22.7,2013,Apollo,Near
279,2011BY24,0.09,S*,22.6,2011,Apollo,Near
280,2010FB81,0.156,S*,21.4,2010,Amor,Near
281,2010CC55,0.094,S*,22.5,2010,Apollo,Near
282,1994CB,0.156,S*,21.4,2010,Apollo,Near
283,2010CB55,0.086,S*,22.7,2010,Apollo,Near
284,2010FG81,0.065,S*,23.3,2010,Amor,Near
285,2010FE7,0.054,S*,23.7,2010,Apollo,Near
286,2010FD7,0.113,S*,22.1,2010,Apollo,Near
287,2010CA55,0.108,S*,22.2,2010,Apollo,Near
288,2002LT24,0.116,S*,22.05,2010,Aten,Near
289,2010DH77,0.156,S*,21.4,2010,Apollo,Near
290,2016UH101,0.086,S*,22.7,2010,Apollo,Near
291,2010BC,0.108,S*,22.2,2010,Apollo,Near
292,2010AJ30,0.084,S*,22.74,2010,Aten,Near
293,2010DX1,0.142,S*,21.6,2010,Apollo,Near
294,2010EX11,0.045,S*,24.1,2010,Aten,Near
295,2010FA81,0.098,S*,22.4,2010,Amor,Near
296,2010MY1,0.049,S*,23.9,2010,Apollo,Near
297,2008NP3,0.081,S*,22.83,2010,Apollo,Near
298,2010LH14,0.113,S*,22.11,2010,Apollo,Near
299,2010LJ68,0.086,S*,22.7,2010,Apollo,Near
300,2010LK68,0.094,S*,22.5,2010,Apollo,Near
301,2010LL68,0.078,S*,22.9,2010,Apollo,Near
302,2010LV108,0.09,S*,22.6,2010,Amor,Near
303,2010KU7,0.108,S*,22.2,2010,Amor,Near
304,2010OH126,0.156,S*,21.4,2010,Apollo,Near
305,2010PP58,0.113,S,22.1,2010,Apollo,Near
306,2010PU66,0.103,S*,22.3,2010,Apollo,Near
307,2015TF,0.108,S*,22.2,2010,Apollo,Near
308,2010QA5,0.103,S*,22.3,2010,Amor,Near
309,1996GQ,0.071,S*,23.1,2010,Amor,Near
310,2014FD7,0.149,S*,21.5,2010,Amor,Near
311,2010CN141,0.098,S*,22.4,2010,Apollo,Near
312,2010KP10,0.062,S*,23.4,2010,Apollo,Near
313,2010GP67,0.094,S*,22.5,2010,Apollo,Near
314,2010HZ104,0.094,S*,22.5,2010,Apollo,Near
315,2010HX107,0.057,S*,23.6,2010,Aten,Near
316,2009UX17,0.149,S*,21.5,2010,Amor,Near
317,2010HW81,0.156,S*,21.4,2010,Apollo,Near
318,2000AA6,0.113,S*,22.1,2010,Apollo,Near
319,2016GV221,0.031,S*,24.9,-1,Apollo,Near
320,2016LO48,0.025,S*,25.4,-1,Amor,Near
321,2016HO,0.022,S*,25.7,-1,Amor,Near
322,2016HN2,0.059,S*,23.5,-1,Apollo,Near
323,2016QB2,0.045,S*,24.1,-1,Amor,Near
324,2016GF216,0.031,S*,24.9,-1,Amor,Near
325,2016HP3,0.054,S*,23.7,-1,Apollo,Near
326,2016LG49,0.098,S*,22.4,-1,Apollo,Near
327,2016PP27,0.057,S*,23.6,-1,Apollo,Near
328,2016LG,0.026,S*,25.3,-1,Amor,Near
329,2016DN2,0.012,S*,26.9,-1,Apollo,Near
330,2016PJ66,0.113,S*,22.1,-1,Amor,Near
331,2016DV1,0.033,S*,24.77,-1,Apollo,Near
332,2016ED,0.054,S*,23.7,-1,Apollo,Near
333,2016EC157,0.059,S*,23.5,-1,Aten,Near
334,2016PU,0.142,S*,21.6,-1,Amor,Near
335,2016EK27,0.108,S*,22.2,-1,Apollo,Near
336,2016EB1,0.026,S*,25.3,-1,Apollo,Near
337,2016PX8,0.012,S*,27.0,-1,Apollo,Near
338,2016GS2,0.075,S*,23.0,-1,Apollo,Near
339,2016MA,0.009,S*,27.5,-1,Apollo,Near
340,2016NC1,0.025,S*,25.4,-1,Aten,Near
341,2016GE1,0.014,S*,26.7,-1,Apollo,Near
342,2016NK39,0.049,S*,23.9,-1,Amor,Near
343,2016FW13,0.004,S*,29.5,-1,Apollo,Near
344,2016PA40,0.039,S*,24.4,-1,Apollo,Near
345,2016JP17,0.071,S*,23.1,-1,Apollo,Near
346,2016NG38,0.028,S*,25.1,-1,Amor,Near
347,2016JV,0.031,S*,24.9,-1,Amor,Near
348,2016OJ1,0.142,S*,21.6,-1,Amor,Near
349,2016FL12,0.016,S*,26.3,-1,Apollo,Near
350,2016PA8,0.124,S*,21.9,-1,Apollo,Near
351,2016NM15,0.009,S*,27.5,-1,Amor,Near
352,2016FC,0.014,S*,26.6,-1,Apollo,Near
353,2016FA,0.026,S*,25.3,-1,Aten,Near
354,2016GW221,0.034,S*,24.7,-1,Aten,Near
355,2016EV27,0.062,S*,23.4,-1,Apollo,Near
356,2016NS,0.025,S*,25.4,-1,Amor,Near
357,2016JG12,0.086,S*,22.7,-1,Apollo,Near
358,2016NA1,0.118,S*,22.0,-1,Amor,Near
359,2016JD18,0.036,S*,24.6,-1,Apollo,Near
360,2016EL157,0.011,S*,27.1,-1,Apollo,Near
361,2016EN156,0.008,S*,27.8,-1,Apollo,Near
362,2016NN15,0.014,S*,26.7,-1,Amor,Near
363,2016GB222,0.013,S*,26.8,-1,Apollo,Near
364,2016HQ19,0.052,S*,23.8,-1,Amor,Near
365,2016PB8,0.094,S*,22.5,-1,Amor,Near
366,2016EO84,0.1,S*,22.37,-1,Aten,Near
367,2016JE18,0.016,S*,26.3,-1,Amor,Near
368,2016ND1,0.026,S*,25.3,-1,Apollo,Near
369,2016NF23,0.078,S*,22.9,-1,Aten,Near
370,2016FZ2,0.036,S*,24.6,-1,Amor,Near
371,2016EQ1,0.016,S*,26.3,-1,Apollo,Near
372,2016FX2,0.054,S*,23.7,-1,Amor,Near
373,2016ES1,0.043,S*,24.2,-1,Amor,Near
374,2016HB,0.039,S*,24.4,-1,Apollo,Near
375,1991VA,0.017,S*,26.21,-1,Apollo,Near
376,2016DK,0.098,S*,22.4,-1,Amor,Near
377,2015QT3,0.047,S*,24.0,-1,Apollo,Near
378,2015MX103,0.039,S*,24.4,-1,Amor,Near
379,2015MY53,0.025,S*,25.4,-1,Amor,Near
380,2015OF26,0.142,S*,21.6,-1,Apollo,Near
381,2015OM21,0.094,S*,22.5,-1,Amor,Near
382,2015OQ21,0.008,S*,27.9,-1,Aten,Near
383,2015OV,0.057,S*,23.6,-1,Apollo,Near
384,2015PK9,0.054,S*,23.7,-1,Apollo,Near
385,2015PQ,0.086,S*,22.7,-1,Amor,Near
386,2015PQ56,0.09,S*,22.6,-1,Amor,Near
387,2015PT227,0.049,S*,23.9,-1,Apollo,Near
388,2015QA,0.078,S*,22.9,-1,Amor,Near
389,2015QB,0.043,S*,24.2,-1,Amor,Near
390,2015RF36,0.062,S*,23.4,-1,Aten,Near
391,2015TC25,0.004,S*,29.34,-1,Apollo,Near
392,2015RH36,0.057,S*,23.6,-1,Amor,Near
393,2015RO36,0.078,S*,22.9,-1,Apollo,Near
394,2015RQ36,0.037,S*,24.5,-1,Apollo,Near
395,2015SA,0.026,S*,25.3,-1,Aten,Near
396,2015SO2,0.049,S*,23.9,-1,Aten,Near
397,2015SU,0.025,S*,25.4,-1,Amor,Near
398,2015SU16,0.03,S*,25.0,-1,Amor,Near
399,2015SV6,0.009,S*,27.7,-1,Apollo,Near
400,2015SW6,0.038,S*,24.45,-1,Apollo,Near
401,2015SY,0.065,S*,23.3,-1,Aten,Near
402,2015SZ,0.059,S*,23.5,-1,Amor,Near
403,2015SZ2,0.025,S*,25.4,-1,Apollo,Near
404,2015MQ116,0.062,S*,23.4,-1,Apollo,Near
405,2015MN44,0.098,S*,22.4,-1,Amor,Near
406,2015ME116,0.103,S*,22.3,-1,Apollo,Near
407,2015MC,0.045,S*,24.1,-1,Apollo,Near
